epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8775.18,0.50769,0.36435,0.94745,0.97667,0.93516,0.96637,0.82483,0.60011,0.36328,0.96815,0.000359409,0.000359409,0.000359409
43,8993.93,0.50477,0.35219,0.93822,0.96588,0.93476,0.96441,0.8196,0.59886,0.37218,0.96696,0.000341077,0.000341077,0.000341077
44,9214.52,0.4945,0.34926,0.93714,0.95855,0.94725,0.96629,0.82526,0.59257,0.36888,0.96186,0.000322745,0.000322745,0.000322745
45,9438.89,0.48228,0.34411,0.92328,0.97025,0.94097,0.96999,0.8295,0.58811,0.36082,0.9597,0.000304414,0.000304414,0.000304414
46,9667.99,0.39789,0.23825,0.86404,0.96486,0.9439,0.96776,0.82664,0.58641,0.35849,0.96291,0.000286083,0.000286083,0.000286083
47,9889.92,0.39166,0.23245,0.86161,0.97119,0.94412,0.97014,0.83419,0.57127,0.34498,0.95048,0.000267751,0.000267751,0.000267751
48,10112.8,0.3768,0.22415,0.85842,0.96695,0.94917,0.96988,0.83532,0.56796,0.34811,0.95143,0.00024942,0.00024942,0.00024942
49,10337.6,0.37109,0.22177,0.84932,0.96791,0.94789,0.96927,0.83535,0.56444,0.34085,0.95404,0.000231088,0.000231088,0.000231088
50,10561.5,0.36125,0.21247,0.84766,0.9626,0.94831,0.96677,0.83524,0.55681,0.34403,0.95258,0.000212757,0.000212757,0.000212757
51,10783.1,0.35356,0.21113,0.84724,0.96548,0.95343,0.96973,0.84123,0.55232,0.34056,0.94618,0.000194425,0.000194425,0.000194425
52,11005.5,0.34441,0.20723,0.8448,0.98314,0.93713,0.96981,0.8401,0.55455,0.33178,0.94691,0.000176094,0.000176094,0.000176094
53,11227.0,0.33749,0.20109,0.83575,0.9731,0.9411,0.96979,0.84451,0.54078,0.33324,0.94235,0.000157762,0.000157762,0.000157762
54,11450.5,0.32665,0.19686,0.83363,0.97721,0.93737,0.97003,0.84591,0.53353,0.3294,0.93871,0.000139431,0.000139431,0.000139431
55,11674.8,0.32295,0.19239,0.83312,0.96902,0.94543,0.96918,0.84507,0.53363,0.3326,0.94093,0.000121099,0.000121099,0.000121099
56,11896.9,0.31309,0.19017,0.82692,0.97761,0.94321,0.97008,0.8481,0.52842,0.33198,0.93851,0.000102768,0.000102768,0.000102768
57,12122.2,0.3078,0.18615,0.82816,0.97399,0.94459,0.96914,0.84705,0.52525,0.33064,0.93909,8.4436e-05,8.4436e-05,8.4436e-05
58,12342.1,0.30078,0.18294,0.82454,0.96716,0.95314,0.96747,0.84513,0.53123,0.33,0.94331,6.61045e-05,6.61045e-05,6.61045e-05
59,12562.1,0.29535,0.17976,0.82408,0.97055,0.94738,0.96935,0.84832,0.52687,0.32911,0.94008,4.7773e-05,4.7773e-05,4.7773e-05
60,12786.9,0.28978,0.17808,0.8275,0.97117,0.94949,0.96764,0.84774,0.52442,0.32897,0.93824,2.94415e-05,2.94415e-05,2.94415e-05
